id_cliente,cancelamento,genero,idoso,possui_conjuge,possui_dependentes,meses_como_cliente,servico_telefonico,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_online,metodo_pagamento,custo_mensal,custo_total,contas_diarias
0002-ORFBO,0,0,0,1,1,9,1,0,DSL,No,1,0,1,1,0,One year,1,Mailed check,65.6,593.0,2.1866666666666665
0003-MKNFE,0,1,0,0,0,9,1,1,DSL,No,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.0,1.9966666666666666
0004-TLHLJ,1,1,0,0,0,4,1,0,Fiber optic,No,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.0,2.4633333333333334
0011-IGKFF,1,1,1,1,0,13,1,0,Fiber optic,No,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.0,3.2666666666666666
0013-EXCHZ,1,0,1,1,0,3,1,0,Fiber optic,No,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.0,2.796666666666667
0013-MHZWF,0,0,0,0,1,9,1,0,DSL,No,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.0,2.3133333333333335
0013-SMEOE,0,0,1,1,0,71,1,0,Fiber optic,Yes,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.0,3.6566666666666667
0014-BMAQU,0,1,0,1,0,63,1,1,Fiber optic,Yes,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.0,2.8216666666666668
0015-UOCOJ,0,0,1,0,0,7,1,0,DSL,Yes,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.0,1.6066666666666667
0016-QLJIS,0,0,0,1,1,65,1,1,DSL,Yes,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.0,3.015
0017-DINOC,0,1,0,0,0,54,0,0,DSL,Yes,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.0,1.5066666666666668
0017-IUDMW,0,0,0,1,1,72,1,1,Fiber optic,Yes,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.0,3.893333333333333
0018-NYROU,0,0,0,1,0,5,1,0,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.0,2.2983333333333333
0019-EFAEP,0,0,0,0,0,72,1,1,Fiber optic,Yes,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.0,3.3766666666666665
0019-GFNTW,0,0,0,0,0,56,0,0,DSL,Yes,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.0,1.5016666666666665
0020-INWCK,0,0,0,1,1,71,1,1,Fiber optic,No,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.0,3.191666666666667
0020-JDNXP,0,0,0,1,1,34,0,0,DSL,Yes,0,1,1,1,1,One year,0,Mailed check,61.25,1993.0,2.0416666666666665
0021-IKXGC,0,0,1,0,0,1,1,1,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.0,2.4033333333333333
0022-TCJCI,1,1,1,0,0,45,1,0,DSL,Yes,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.0,2.0900000000000003
0023-HGHWL,1,1,1,0,0,1,0,0,DSL,No,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.0,0.8366666666666667
0023-UYUPN,0,0,1,1,0,50,1,1,No,No internet service,0,0,0,0,0,One year,0,Electronic check,25.2,1306.0,0.84
0023-XUOPT,1,0,0,1,0,13,1,1,Fiber optic,No,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.0,3.1366666666666663
0027-KWYKW,0,0,0,1,1,23,1,1,Fiber optic,No,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.0,2.7916666666666665
0030-FNXPP,0,0,0,0,0,3,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Mailed check,19.85,57.0,0.6616666666666667
0031-PVLZI,1,0,0,1,1,4,1,0,No,No internet service,0,0,0,0,0,Month-to-month,0,Mailed check,20.35,76.0,0.6783333333333333
0032-PGELS,1,0,0,1,1,1,0,0,DSL,Yes,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.0,1.0166666666666666
0036-IHMOT,0,0,0,1,1,55,1,0,Fiber optic,No,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.0,3.4566666666666666
0040-HALCW,0,1,0,1,1,54,1,0,No,No internet service,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,1090.0,0.6799999999999999
0042-JVWOJ,0,1,0,0,0,26,1,0,No,No internet service,0,0,0,0,0,One year,1,Bank transfer (automatic),19.6,471.0,0.6533333333333334
0042-RLHYP,0,0,0,1,1,69,1,0,No,No internet service,0,0,0,0,0,Two year,0,Bank transfer (automatic),19.7,1396.0,0.6566666666666666
0047-ZHDTW,0,0,0,0,0,11,1,1,Fiber optic,Yes,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929.0,2.6333333333333333
0048-LUMLS,0,1,0,1,1,37,1,0,Fiber optic,No,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.0,3.04
0048-PIHNL,0,0,0,1,0,49,1,0,No,No internet service,0,0,0,0,0,One year,0,Bank transfer (automatic),20.45,900.0,0.6816666666666666
0052-DCKON,0,1,0,1,0,66,1,1,Fiber optic,Yes,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.0,3.86
0052-YNYOT,0,0,0,0,0,67,1,0,No,No internet service,0,0,0,0,0,One year,0,Electronic check,20.55,1343.0,0.685
0056-EPFBG,0,1,0,1,1,20,0,0,DSL,Yes,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.0,1.3133333333333332
0057-QBUQH,0,0,0,0,1,43,1,1,No,No internet service,0,0,0,0,0,Two year,1,Electronic check,25.1,1070.0,0.8366666666666667
0058-EVZWM,0,0,0,1,0,55,1,1,Fiber optic,Yes,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.0,2.993333333333333
0060-FUALY,0,0,0,1,0,59,1,1,Fiber optic,Yes,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.0,3.158333333333333
0064-SUDOG,0,0,0,1,1,12,1,0,No,No internet service,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.3,224.0,0.6766666666666666
0064-YIJGF,0,1,0,1,1,27,1,1,Fiber optic,No,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.525
0067-DKWBL,1,1,1,0,0,2,1,0,DSL,Yes,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.0,1.6416666666666666
0068-FIGTF,0,0,0,0,0,27,1,0,DSL,No,1,1,1,1,1,One year,0,Mailed check,78.2,2078.0,2.606666666666667
0071-NDAFP,0,1,0,1,1,25,1,1,No,No internet service,0,0,0,0,0,Two year,0,Credit card (automatic),25.5,630.0,0.85
0074-HDKDG,0,1,0,1,1,25,1,0,DSL,Yes,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,2.0533333333333332
0076-LVEPS,0,1,0,0,1,29,0,0,DSL,Yes,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.0,1.5
0078-XZMHT,0,1,0,1,0,72,1,1,DSL,No,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.0,2.8383333333333334
0080-EMYVY,0,0,0,0,0,14,1,0,DSL,No,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.0,1.715
0080-OROZO,0,0,0,0,0,35,1,0,Fiber optic,No,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,3.308333333333333
0082-LDZUE,0,1,0,0,0,1,1,0,DSL,No,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.0,1.4766666666666666
0082-OQIQY,0,1,0,0,0,29,1,0,Fiber optic,No,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.0,3.14
0083-PIVIK,0,1,0,0,0,64,1,1,DSL,Yes,1,1,1,1,0,One year,0,Electronic check,81.25,5567.0,2.7083333333333335
0089-IIQKO,0,0,0,1,1,39,1,1,Fiber optic,No,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.0,3.3316666666666666
0093-EXYQL,0,0,1,0,0,40,1,0,Fiber optic,No,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.0,3.0516666666666667
